,LEAVECOLUMNEMPTY,Game,Changed,,Client Duplicates,,,,,,,,,,
class (for reference only),,SRG,MCP,Notes,188,,,,,,,,,,
Chunk,,func_1000_a,addEntity,Adds an entity to the chunk. Args: entity,,,,,,,,,,,
Chunk,,func_1002_d,getChunkBlockTileEntity,Gets the TileEntity for a given block in this chunk,,DUPLICATE,,,,,,,,,
Chunk,,func_1005_a,setChunkBlockTileEntity,Sets the TileEntity for a given block in this chunk,DUPLICATE,DUPLICATE,,,,,,,,,
Chunk,,func_1006_f,setChunkModified,Sets the isModified flag for this Chunk,DUPLICATE,DUPLICATE,,,,,,,,,
Chunk,,func_1007_c,canBlockSeeTheSky,Returns whether is not a block above this one blocking sight to the sky (done via checking against the heightmap),,,,,,,,,,,
Chunk,,func_1008_a,getBlockID,Return the ID of a block in the chunk.,,,,,,,,,,,
Chunk,,func_1009_b,setBlockMetadata,Set the metadata of a block in the chunk,,,,,,,,,,,
Chunk,,func_1010_a,setBlockIDWithMetadata,"Sets a blockID of a position within a chunk with metadata. Args: x, y, z, blockID, metadata",,,,,,,,,,,
Chunk,,func_1011_a,setLightValue,"Sets the light value at the coordinate. If enumskyblock is set to sky it sets it in the skylightmap and if its a block then into the blocklightmap. Args enumSkyBlock, x, y, z, lightValue",,,,,,,,,,,
Chunk,,func_1012_a,needsSaving,Returns true if this Chunk needs to be saved,DUPLICATE,DUPLICATE,,,,,,,,,
Chunk,,func_1013_a,getEntitiesOfTypeWithinAAAB,"Gets all entities that can be assigned to the specified class. Args: entityClass, aabb, listToFill",,,,,,,,,,,
Chunk,,func_1017_a,isAtLocation,Checks whether the chunk is at the X/Z location specified,DUPLICATE,DUPLICATE,u,v,width,height,,,,,
Chunk,,func_1018_b,generateHeightMap,Generates the height map for a chunk from scratch,,,,,,,,,,,
Chunk,,func_1019_c,getBlockLightValue,Gets the amount of light on a block taking into account sunlight,,,,,,,,,,,
Chunk,,func_1021_b,getBlockMetadata,Return the metadata corresponding to the given coordinates inside a chunk.,,,,,,,,,,,
Chunk,,func_1022_a,setBlockID,"Sets a blockID for a position in the chunk. Args: x, y, z, blockID",,,,,,,,,,,
Chunk,,func_1023_e,removeChunkBlockTileEntity,Removes the TileEntity for a given block in this chunk,DUPLICATE,DUPLICATE,,,,,,,,,
Chunk,,func_1025_a,getSavedLightValue,Gets the amount of light saved in this block (doesn't adjust for daylight),,,,,,,,,,,
TileEntityRenderer,,func_1026_a,setRenderingContext,"Sets references to the World, RenderEngine, FontRenderer, and EntityPlayer, as well as calculating the player's current position/angle within the current tick",DUPLICATE,DUPLICATE,,,,,,,,,
TileEntityRenderer,,func_1028_a,hasSpecialRenderer,"Returns true if this TileEntity instance has a TileEntitySpecialRenderer associated with it, false otherwise.",DUPLICATE,DUPLICATE,,,,,,,,,
TileEntityRenderer,,func_1030_a,renderTileEntity,Render this TileEntity at its current position from the player,DUPLICATE,DUPLICATE,,,,,,,,,
TileEntityRenderer,,func_1031_b,getSpecialRendererForEntity,"Returns the TileEntitySpecialRenderer used to render this TileEntity instance, or null if it has no special renderer",DUPLICATE,DUPLICATE,,,,,,,,,
TileEntityRenderer,,func_1032_a,renderTileEntityAt,Render this TileEntity at a given set of coordinates,DUPLICATE,DUPLICATE,centerZ,blockX,blockY,blockZ,baseAlpha,shadowSize,xOffset,yOffset,zOffset
Path,,func_1033_a,sortBack,Sorts a point to the left,,,etc.,,,,,,,,
Path,,func_1034_a,addPoint,Adds a point to the path,,,z,yaw,partialTickTime,,,,,,
Path,,func_1035_a,changeDistance,Changes the provided point's distance to target,,,z,partialTickTime,,,,,,,
Path,,func_1036_b,dequeue,Returns and removes the first point in the path,,,,,,,,,,,
Path,,func_1037_b,sortForward,Sorts a point to the right,,,,,,,,,,,
Path,,func_1038_a,clearPath,Clears the path,,,,,,,,,,,
Path,,func_1039_c,isPathEmpty,Returns true if this path contains no points,,,,,,,,,,,
GameSettings,,func_1041_b,saveOptions,Saves the options to the options file.,,,,,,,,,,,
GameSettings,,func_1042_a,setKeyBinding,Sets a key binding.,,,,,,,,,,,
GameSettings,,func_1043_a,getKeyBinding,Gets a key binding.,,,,,,,,,,,
GameSettings,,func_1045_b,setOptionValue,"For non-float options. Toggles the option on/off, or cycles through the list i.e. render distances.",,,,,,,,,,,
GameSettings,,func_1046_b,getOptionControlType,Returns 1 if the option is controlled by a button and 0 if controlled by a slider.,,,,,,,,,,,
GameSettings,,func_1047_d,getOptionDisplayString,The string that appears inside the button/slider in the options menu.,,,,,,,,,,,
GameSettings,,func_1048_a,setOptionFloatValue,"If the specified option is controlled by a slider (float value), this will set the float value.",,,,,,,,,,,
GameSettings,,func_1049_c,getOptionFloatValue,"If the specified option is controlled by a slider (float value), this will return the float value. Otherwise it returns 0.0f.",,,,,,,,,,,
GameSettings,,func_1050_a,parseFloat,Parses a string into a float.,,,,,,,,,,,
MCHashTable,,func_1052_b,removeObject,Removes the specified object from the map and returns it,,,,,,,,,,,
MCHashTable,,func_1053_a,insert,Adds an object to a slot,,,,,,,,,,,
MCHashTable,,func_1054_c,removeEntry,Removes the specified entry from the map and returns it,,,,,,,,,,,
MCHashTable,,func_1055_e,computeHash,Makes the passed in integer suitable for hashing by a number of shifts,,,,,,,,,,,
MCHashTable,,func_1056_d,getHash,Returns the hash code for a key,,,,,,,,,,,
MCHashTable,,func_1057_a,lookup,Returns the object associated to a key,,,,,,,,,,,
MCHashTable,,func_1058_a,clearMap,Removes all entries from the map,,,,,,,,,,,
MCHashTable,,func_1059_a,copyTo,Copies the hash slots to a new array,,,,,,,,,,,
MCHashTable,,func_1060_f,grow,Increases the number of hash slots,,,,,,,,,,,
MCHashTable,,func_1061_a,addKey,Adds a key and associated value to this map,,,,,,,,,,,
MCHashTable,,func_1062_a,getSlotIndex,Computes the index of the slot for the hash and slot count passed in.,,,,,,,,,,,
RenderEngine,,func_1065_b,refreshTextures,Call setupTexture on all currently-loaded textures again to account for changes in rendering options,DUPLICATE,DUPLICATE,,,,,,,,,
RenderEngine,,func_1066_a,registerTextureFX,*,,,,,,,,,,,
RenderEngine,,func_1068_a,setupTexture,Copy the supplied image onto the specified OpenGL texture,DUPLICATE,DUPLICATE,,,,,,,,,
RenderEngine,,func_1069_b,unwrapImageByColumns,Takes an image with multiple 16-pixel-wide columns and creates a new 16-pixel-wide image where the columns are stacked vertically,DUPLICATE,DUPLICATE,,,,,,,,,
RenderEngine,,func_1070_a,getTexture,*,,,,,,,,,,,
RenderEngine,,func_1071_a,getTextureForDownloadableImage,"Takes a URL of a downloadable image and the name of the local image to be used as a fallback.  If the image has been downloaded, returns the GL texture of the downloaded image, otherwise returns the GL texture of the fallback image.",DUPLICATE,DUPLICATE,,,,,,,,,
RenderEngine,,func_1072_a,averageColor,"Takes two colors and returns the average of them. Args: color1, color2",DUPLICATE,DUPLICATE,,,,,,,,,
RenderEngine,,func_1073_b,releaseImageData,"Decrements the reference count for a given URL, deleting the image data if the reference count hits 0",DUPLICATE,DUPLICATE,,,,,,,,,
RenderEngine,,func_1074_a,allocateAndSetupTexture,"Copy the supplied image onto a newly-allocated OpenGL texture, returning the allocated texture name",DUPLICATE,DUPLICATE,,,,,,,,,
RenderEngine,,func_1075_a,obtainImageData,"Return a ThreadDownloadImageData instance for the given URL.  If it does not already exist, it is created and uses the passed ImageBuffer.  If it does, its reference count is incremented.",DUPLICATE,DUPLICATE,,,,,,,,,
RenderEngine,,func_1076_b,bindTexture,*,,,,,,,,,,,
RenderEngine,,func_1077_b,weightedAverageColor,"Uses the alpha of the two colors passed in to determine the contributions of each color.  If either of them has an alpha greater than 0 then the returned alpha is 255 otherwise its zero if they are both zero. Args: color1, color2",DUPLICATE,DUPLICATE,save all chunks.,,,,,,,,
RenderEngine,,func_1078_a,deleteTexture,Deletes a single GL texture,DUPLICATE,DUPLICATE,,,,,,,,,
EntityList,,func_1079_a,createEntityInWorld,Creates an entity of the given name in the world.,DUPLICATE,DUPLICATE,,,,,,,,,
EntityList,,func_1080_a,addMapping,adds a mapping between Entity classes and both a string representation and an ID,DUPLICATE,DUPLICATE,,,,,,,,,
EntityList,,func_1081_a,createEntityFromNBT,create a new instance of an entity from NBT store,DUPLICATE,DUPLICATE,and EntityPlayer,as well as calculating the player's current position/angle within the current tick,,,,,,,
EntityList,,func_1082_a,getEntityID,gets the entityID of a specific entity,DUPLICATE,DUPLICATE,,,,,,,,,
EntityList,,func_1083_b,getEntityString,gets the string representation of a specific entity,DUPLICATE,DUPLICATE,width,length,,,,,,,
EntityList,,func_1084_a,createEntity,create a new instance of an entity by using an entityID,DUPLICATE,DUPLICATE,,,,,,,,,
ItemStack,,func_1085_a,splitStack,Remove the argument from the stack size. Return a new stack object with argument size.,,,,,,,,,,,
ItemStack,,func_1086_a,writeToNBT,Write the stack fields to a NBT object. Return the new NBT object.,,,,,,,,,,,
ItemStack,,func_1087_a,hitBlock,Calls the corresponding fct in di,,,,,,,,,,,
ItemStack,,func_1088_b,getIconIndex,Returns the icon index of the current stack.,,,,,,,,,,,
ItemStack,,func_1089_c,getMaxStackSize,Returns maximum size of the stack.,,,,,,,,,,,
ItemStack,,func_1090_a,useItem,"Uses the item stack by the player. Gives the coordinates of the block its being used against and the side. Args: player, world, x, y, z, side",,,,,,,,,,,
ItemStack,,func_1091_a,getItem,Returns the object corresponding to the stack.,,,,,,,,,,,
ItemStack,,func_1092_a,hitEntity,Calls the corresponding fct in di,,,,,,,,,,,
ItemStack,,func_1093_a,useItemRightClick,"Called whenever this item stack is equipped and right clicked. Returns the new item stack to put in the position where this item is. Args: world, player",,,,,,,,,,,
ItemStack,,func_1094_d,getMaxDamage,Returns the max damage an item in the stack can take.,,,,,,,,,,,
ItemStack,,func_1095_a,getDamageVsEntity,Returns the damage against a given entity.,,,,,,,,,,,
ItemStack,,func_1096_b,readFromNBT,Read the stack fields from a NBT object.,,,,,,,,,,,
ItemStack,,func_1098_a,getStrVsBlock,Returns the strength of the stack against a given block.,,,,,,,,,,,
ItemStack,,func_1099_b,canHarvestBlock,Checks if the itemStack object can harvest a specified block,DUPLICATE,DUPLICATE,,,,,,,,,
net/minecraft/client/Minecraft,,func_110_a,handleException,Creates a new crash report and displays it in the main window.,,,,,,,,,,,
ItemStack,,func_1100_b,useItemOnEntity,Uses the stack on the entity.,,,,,,,,,,,
ItemStack,,func_1101_b,damageItem,"Raise the damage on the item by the argument. If the dmg is superior to health, destroy one element of the stack.",,,,,,,,,,,
ItemStack,,func_1102_e,copy,Returns a new stack with the same properties.,,,,,,,,,,,
ar (CraftingInventoryCB),,func_1103_a,onCraftMatrixChanged,Callback for when the crafting matrix is changed.,,,,,,,,,,,
ar (CraftingInventoryCB),,func_1104_a,onCraftGuiClosed,Callback for when the crafting gui is closed.,,,,,,,,,,,
eo (MathHelper),,func_1106_a,sin,sin looked up in a table,,,,,,,,,,,
eo (MathHelper),,func_1107_a,abs_max,Maximum of the absolute value of two numbers.,,,,,,,,,,,
MathHelper,,func_1108_b,floor_double,Returns the greatest integer less than or equal to the double argument,,,,,,,,,,,
eo (MathHelper),,func_1109_a,sqrt_double,,,,,,,,,,,,
MathHelper,,func_1110_d,floor_float,Returns the greatest integer less than or equal to the float argument,,,,,,,,,,,
eo (MathHelper),,func_1111_a,bucketInt,"Buckets an integer with specifed bucket sizes.  Args: i, bucketSize",,,,,,,,,,,
eo (MathHelper),,func_1112_e,abs,,,,,,,,,,,,
eo (MathHelper),,func_1113_c,sqrt_float,,,,,,,,,,,,
eo (MathHelper),,func_1114_b,cos,cos looked up in the sin table with the appropriate offset,,,,,,,,,,,
PositionTexureVertex,,func_1115_a,setTexturePosition,*,,,,,,,,,,,
SoundPool,,func_1116_a,getRandomSound,Gets a random SoundPoolEntry.,,,,,,,,,,,
eb (SoundPool),,func_1117_a,addSound,Adds a sound to this sound pool.,,,,,,,,,,,
SoundPool,,func_1118_a,getRandomSoundFromSoundPool,"gets a random sound from the specified (by name, can be sound/newsound/streaming/music/newmusic) sound pool.",,,,,,,,,,,
dw (CraftingManager),,func_1119_a,craft,Given an array of item ids it produces the crafting result of a matching recipe if found,,,,,,,,,,,
dw (CraftingManager),,func_1120_a,getInstance,Returns the static instance of this class,,,,,,,,,,,
dw (CraftingManager),,func_1121_a,addRecipe,Adds a recipe. See spreadsheet on first page for details.,,,,,,,,,,,
GLAllocation,,func_1123_d,createDirectFloatBuffer,Creates and returns a direct float buffer with the specified capacity. Applies native ordering to speed up access.,DUPLICATE,DUPLICATE,,,,,,,,,
df (GLAllocation),,func_1124_a,generateDisplayLists,Generates the specified number of display lists and returns the first index.,,,,,,,,,,,
GLAllocation,,func_1125_c,createDirectIntBuffer,Creates and returns a direct int buffer with the specified capacity. Applies native ordering to speed up access.,DUPLICATE,DUPLICATE,,,,,,,,,
df (GLAllocation),,func_1126_a,deleteTexturesAndDisplayLists,Deletes all textures and display lists. Called when Minecraft is shutdown to free up resources.,,,,,,,,,,,
GLAllocation,,func_1127_b,createDirectByteBuffer,Creates and returns a direct byte buffer with the specified capacity. Applies native ordering to speed up access.,DUPLICATE,DUPLICATE,,,,,,,,,
df (GLAllocation),,func_1128_a,generateTextureNames,Generates texture names and stores them in the specified buffer.,,,,,,,,,,,
cz (Pathfinder),,func_1129_a,addToPath,"Adds a path from start to end and returns the whole path (args: unused, start, end, unused, maxDistance)",,,,,,,,,,,
cz (Pathfinder),,func_1130_a,createEntityPathTo,Internal implementation of creating a path from an entity to a point,,,No,,,,,,,,
cz (Pathfinder),,func_1131_a,createEntityPathTo,Creates a path from an entity to a specified location within a minimum distance,,,No,,,,,,,,
cz (Pathfinder),,func_1132_a,getVerticalOffset,"Given an x y z, returns a vertical offset needed to search to find a block to stand on",,,No,,,,,,,,
cz (Pathfinder),,func_1133_b,findPathOptions,"populates pathOptions with available points and returns the number of options found (args: unused1, currentPoint, unused2, targetPoint, maxDistance)",,,No,,,,,,,,
cz (Pathfinder),,func_1134_a,createEntityPath,Returns a new PathEntity for a given start and end point,,,No,,,,,,,,
cz (Pathfinder),,func_1135_a,getSafePoint,Returns a point that the entity can safely move to,,,No,,,,,,,,
cz (Pathfinder),,func_1136_a,openPoint,Returns a mapped point or creates and adds one,,,No,,,,,,,,
cz (Pathfinder),,func_1137_a,createEntityPathTo,Creates a path from one entity to another within a minimum distance,,,No,,,,,,,,
CompressedStreamTools,,func_1143_a,writeGzippedCompoundToOutputStream,Write the compound,gzipped,DUPLICATE,No,,,,,,,,
az (SpawnerAnimals),,func_1149_a,createRandomSpawn,Spawn one random creature (possibly a Skeleton on a Spider) at a random location.,,,No,,,,,,,,
